,,,Inside 10,Inside 10,Inside 10,Inside 5,Inside 5,Inside 5
2025,Sam Darnold,SEA,4,0,8.30%,1,0,4.00%
2025,Jordan Love,GNB,3,0,6.70%,1,0,5.00%
2025,J.J. McCarthy,MIN,4,2,16.70%,1,1,8.30%
2025,Jaret Patterson,LAC,2,1,5.90%,2,1,12.50%
2025,Dylan Sampson,CLE,1,0,3.00%,0,0,0.00%
2025,Miles Sanders,DAL,3,1,6.10%,1,1,3.60%
2025,Geno Smith,LVR,2,0,10.50%,1,0,10.00%
2025,Jacoby Brissett,ARI,5,1,14.30%,2,1,12.50%
2025,Isaiah Davis,NYJ,1,0,4.00%,0,0,0.00%
2025,Audric Estime,NOR,5,0,15.20%,3,0,25.00%
2025,DJ Giddens,IND,1,0,1.70%,1,0,3.20%
2025,Connor Heyward,PIT,4,2,8.70%,4,2,14.80%
2025,Jawhar Jordan,HOU,2,0,5.70%,1,0,4.30%
2025,Jaleel McLaughlin,DEN,2,1,5.70%,1,1,6.70%
2025,Kendre Miller,NOR,2,0,6.10%,0,0,0.00%
2025,Devin Neal,NOR,2,2,6.10%,2,2,16.70%
2025,Dare Ogunbowale,HOU,4,1,11.40%,2,0,8.70%
2025,Julius Chestnut,TEN,2,0,6.90%,2,0,20.00%
2025,James Conner,ARI,3,1,8.60%,3,1,18.80%
2025,Emari Demercado,ARI,4,0,11.40%,0,0,0.00%
2025,Trevor Etienne,CAR,3,0,10.70%,1,0,11.10%
2025,Jerome Ford,CLE,4,0,12.10%,3,0,14.30%
2025,Antonio Gibson,NWE,2,1,3.60%,2,1,8.70%
2025,George Holani,SEA,1,1,2.10%,0,0,0.00%
2025,Terrell Jennings,NWE,2,1,3.60%,2,1,8.70%
2025,Kaleb Johnson,PIT,0,0,0.00%,0,0,0.00%
2025,Jeremy McNichols,WAS,3,0,5.70%,1,0,3.40%
2025,Raheem Mostert,LVR,1,0,5.30%,0,0,0.00%
2025,Spencer Rattler,NOR,0,0,0.00%,0,0,0.00%
2025,Deebo Samuel,WAS,2,0,3.80%,1,0,3.40%
2025,Tyler Warren,IND,4,1,6.90%,3,1,9.70%
2025,Malik Willis,GNB,3,0,6.70%,0,0,0.00%
2025,Ameer Abdullah,IND,2,1,3.40%,1,1,3.20%
2025,LeQuint Allen,JAX,1,0,1.90%,1,0,3.70%
2025,Mark Andrews,BAL,3,0,5.80%,2,0,7.10%
2025,AJ Barner,SEA,2,1,4.20%,1,1,4.00%
2025,Trey Benson,ARI,2,0,5.70%,1,0,6.30%
2025,Chris Brooks,GNB,1,0,2.20%,0,0,0.00%
2025,Greg Dortch,ARI,1,1,2.90%,1,1,6.30%
2025,Jared Goff,DET,2,0,4.10%,0,0,0.00%
2025,Khalil Herbert,NYJ,1,0,4.00%,0,0,0.00%
2025,Justice Hill,BAL,1,1,1.90%,1,1,3.60%
2025,Mac Jones,SFO,1,0,2.20%,0,0,0.00%
2025,Kyler Murray,ARI,2,0,5.70%,0,0,0.00%
2025,Kene Nwangwu,NYJ,3,0,12.00%,1,0,20.00%
2025,Michael Penix,ATL,3,1,7.50%,2,1,11.80%
2025,Rashee Rice,KAN,3,1,7.10%,2,1,11.10%
2025,Aaron Rodgers,PIT,2,1,4.30%,2,1,7.40%
2025,Zavier Scott,MIN,1,0,4.20%,0,0,0.00%
2025,Cade Stover,HOU,1,0,2.90%,0,0,0.00%
2025,Tyrod Taylor,NYJ,1,1,4.00%,0,0,0.00%
2025,Malik Washington,MIA,1,1,3.10%,0,0,0.00%
2025,Tyler Badie,DEN,1,0,2.90%,1,0,6.70%
2025,British Brooks,HOU,2,0,5.70%,2,0,8.70%
2025,Jake Browning,CIN,1,1,3.10%,1,1,7.10%
2025,Joe Burrow,CIN,1,0,3.10%,1,0,7.10%
2025,Chimere Dike,TEN,2,0,6.90%,1,0,10.00%
2025,AJ Dillon,PHI,0,0,0.00%,0,0,0.00%
2025,Ashton Dulin,IND,0,0,0.00%,0,0,0.00%
2025,Austin Ekeler,WAS,0,0,0.00%,0,0,0.00%
2025,Harold Fannin,CLE,1,1,3.00%,1,1,4.80%
2025,Dillon Gabriel,CLE,0,0,0.00%,0,0,0.00%
2025,Matthew Golden,GNB,0,0,0.00%,0,0,0.00%
2025,C.J. Ham,MIN,2,2,8.30%,2,2,16.70%
2025,Hassan Haskins,LAC,0,0,0.00%,0,0,0.00%
2025,Josh Johnson,WAS,1,1,1.90%,1,1,3.40%
2025,Corey Kiner,ARI,1,0,2.90%,0,0,0.00%
2025,Riley Leonard,IND,2,2,3.40%,1,1,3.20%
2025,Jakobi Meyers,JAX,1,0,1.90%,0,0,0.00%
2025,Davis Mills,HOU,1,0,2.90%,1,0,4.30%
2025,Marvin Mims,DEN,0,0,0.00%,0,0,0.00%
2025,D.J. Moore,CHI,1,0,1.90%,0,0,0.00%
2025,Adam Prentice,DEN,1,0,2.90%,1,0,6.70%
2025,Jonnu Smith,PIT,0,0,0.00%,0,0,0.00%
2025,Tua Tagovailoa,MIA,0,0,0.00%,0,0,0.00%
2025,Carson Wentz,MIN,1,0,4.20%,0,0,0.00%
2025,Jameis Winston,NYG,1,1,2.00%,1,1,3.60%
2025,Rasheen Ali,BAL,0,0,0.00%,0,0,0.00%
2025,Andrew Beck,NYJ,1,0,4.00%,0,0,0.00%
2025,Dyami Brown,JAX,1,0,1.90%,0,0,0.00%
2025,Ty Chandler,MIN,1,0,4.20%,1,0,8.30%
2025,Nico Collins,HOU,1,1,2.90%,0,0,0.00%
2025,Malachi Corley,CLE,1,0,3.00%,1,0,4.80%
2025,Kirk Cousins,ATL,1,1,2.50%,1,1,5.90%
2025,DeeJay Dallas,CAR,0,0,0.00%,0,0,0.00%
2025,DeMario Douglas,NWE,0,0,0.00%,0,0,0.00%
2025,Greg Dulcich,MIA,1,0,3.10%,1,0,7.70%
2025,Terrance Ferguson,LAR,1,0,1.90%,0,0,0.00%
2025,Zay Flowers,BAL,0,0,0.00%,0,0,0.00%
2025,Reggie Gilliam,BUF,1,0,1.60%,1,0,2.70%
2025,Najee Harris,LAC,0,0,0.00%,0,0,0.00%
2025,Tre Harris,LAC,0,0,0.00%,0,0,0.00%
2025,T.J. Hockenson,MIN,0,0,0.00%,0,0,0.00%
2025,Evan Hull,NOR,0,0,0.00%,0,0,0.00%
2025,Travis Hunter,JAX,0,0,0.00%,0,0,0.00%
2025,Xavier Hutchinson,HOU,0,0,0.00%,0,0,0.00%
2025,Alec Ingold,MIA,1,0,3.10%,0,0,0.00%
2025,D'Ernest Johnson,NWE,1,0,1.80%,1,0,4.30%
