,,,Inside 10,Inside 10,Inside 10,Inside 5,Inside 5,Inside 5
2026,Bryce Young,CAR,5.3,2.6,16.46%,1.8,1.1,12.43%
2026,Raheim Sanders,CLE,5.3,1.1,16.03%,3.5,0.9,19.35%
2026,Cam Ward,TEN,5.2,1.3,18.72%,0.8,0.0,7.12%
2026,Carson Steele,PHI,5.1,0.0,8.85%,2.6,0.0,8.56%
2026,Ameer Abdullah,JAX,5.1,1.6,11.09%,2.2,1.1,9.55%
2026,AJ Dillon,CAR,5.0,0.8,15.54%,2.0,0.4,13.85%
2026,Easton Stick,IND,5.0,1.0,9.18%,2.1,1.1,7.29%
2026,Brashard Smith,KAN,4.9,0.0,12.00%,0.4,0.0,2.05%
2026,Jayden Daniels,WAS,4.9,2.1,9.26%,3.9,2.2,14.77%
2026,Ray Davis,BUF,4.9,0.8,7.93%,2.2,0.4,6.76%
2026,Bo Nix,DEN,4.8,2.8,14.09%,1.2,0.9,7.33%
2026,Jaylen Wright,MIA,4.7,1.6,12.51%,2.4,1.6,14.76%
2026,Pierre Strong,GNB,4.6,2.6,9.84%,2.9,1.7,13.83%
2026,Patrick Mahomes,KAN,4.3,1.3,10.43%,2.1,0.9,10.21%
2026,Brock Purdy,SFO,4.2,2.5,8.26%,2.3,1.7,9.05%
2026,J.J. McCarthy,MIN,4.1,2.0,14.03%,1.2,0.9,8.44%
2026,Emari Demercado,KAN,4.0,0.0,9.86%,0.6,0.0,2.81%
2026,Tyjae Spears,TEN,4.0,1.6,14.28%,2.1,1.4,18.50%
2026,Trevor Etienne,CAR,3.9,0.0,12.18%,1.9,0.0,13.26%
2026,Braelon Allen,NYJ,3.9,1.0,18.55%,0.6,0.3,9.70%
2026,Jordan Love,GNB,3.8,1.0,8.08%,1.4,0.9,6.73%
2026,Sincere McCormick,SFO,3.7,0.0,7.23%,2.4,0.0,9.72%
2026,Khalil Herbert,SFO,3.6,0.6,6.96%,1.2,0.4,4.80%
2026,Jeremy McNichols,WAS,3.5,0.9,6.72%,1.3,0.7,4.82%
2026,Audric Estime,NOR,3.5,0.6,9.96%,1.7,0.5,13.07%
2026,Malik Davis,DAL,3.5,0.9,8.40%,1.6,0.8,7.10%
2026,Cooper Rush,ATL,3.5,0.0,8.04%,0.3,0.0,2.02%
2026,Sam Darnold,SEA,3.5,0.5,8.40%,1.6,0.6,7.17%
2026,Teddy Bridgewater,DET,3.4,0.0,6.14%,1.6,0.0,5.80%
2026,Patrick Taylor,SFO,3.3,0.6,6.51%,2.1,0.6,8.58%
2026,Jaleel McLaughlin,DEN,3.2,0.9,9.32%,1.2,0.7,7.30%
2026,Tyler Warren,IND,3.2,0.8,5.82%,2.3,0.8,7.77%
